species,cp,shiny,lucky,shadow,purified,favorite,tag
Bulbasaur,625,0,0,0,0,0,0
Venusaur,1435,0,0,0,0,1,1
Charmander,402,0,0,0,0,0,0
Charizard,1673,0,0,0,0,1,1
Wartortle,868,0,0,0,0,0,1
Butterfree,786,0,0,0,0,0,0
Beedrill,764,0,0,0,0,0,0
Raticate,1216,1,0,0,0,0,0
Ekans,665,0,0,0,0,0,0
Pikachu,509,0,0,0,0,0,0
Sandslash,1295,0,0,0,0,0,0
Nidorina,889,1,0,0,0,0,0
Nidorino,954,1,0,0,0,0,1
Nidoking,1076,0,0,0,0,0,0
Clefairy,197,0,0,0,0,0,1
Vulpix,139,0,0,0,0,0,0
Ninetales,1348,0,0,0,0,1,1
Jigglypuff,389,0,0,0,0,0,0
Golbat,919,0,0,0,0,1,1
Oddish,848,1,0,0,0,0,0
Dugtrio,1101,0,0,0,0,0,0
Persian,987,0,0,0,0,0,0
Golduck,1016,0,0,0,0,0,0
Mankey,482,0,0,0,0,0,0
Arcanine,2404,0,0,0,0,1,1
Poliwhirl,931,1,0,0,0,0,1
Machop,704,0,0,0,0,0,0
Machoke,860,0,0,0,0,0,0
Weepinbell,1128,1,0,0,0,0,0
Tentacruel,1017,0,0,0,0,1,1
Ponyta,704,0,0,0,0,0,1
Rapidash,1515,0,0,0,0,0,0
Rapidash,1366,0,0,0,0,0,0
Slowbro,1229,0,0,0,0,1,1
Magneton,1416,0,0,0,0,0,0
Seel,739,0,0,0,0,0,0
Dewgong,819,0,0,0,0,0,0
Grimer,740,0,0,0,0,0,1
Shellder,737,1,0,0,0,0,1
Cloyster,1054,0,0,0,0,0,0
Onix,222,0,0,0,0,0,0
Drowzee,693,1,0,0,0,0,1
Hypno,1396,0,0,0,0,1,1
Kingler,1095,0,0,0,0,0,0
Voltorb,667,1,0,0,0,0,0
Voltorb,550,0,0,0,0,0,0
Exeggcute,549,0,0,0,0,0,0
Exeggcute,489,0,0,0,0,0,0
Exeggutor,1317,0,0,0,0,1,1
Cubone,562,0,0,0,0,0,0
Marowak,1023,0,0,0,0,1,1
Marowak,752,0,0,0,0,0,0
Hitmonlee,1473,0,0,0,0,1,1
Hitmonchan,1621,1,0,0,0,0,1
Lickitung,793,0,0,0,0,0,0
Koffing,504,0,0,0,0,0,1
Chansey,948,0,0,0,0,0,0
Tangela,1114,0,0,0,0,0,1
Horsea,679,1,0,0,0,0,0
Goldeen,267,0,0,0,0,0,1
Staryu,480,0,0,0,0,0,0
Scyther,1541,0,0,0,0,0,0
Scyther,1137,0,0,0,0,0,1
Jynx,1504,0,0,0,0,1,1
Jynx,1421,0,0,0,0,1,1
Electabuzz,1310,0,0,0,0,0,1
Magmar,1019,0,0,0,0,0,1
Pinsir,2258,0,0,0,0,1,1
Tauros,1812,0,0,0,0,0,0
Magikarp,149,0,0,0,0,0,0
Magikarp,139,0,0,0,0,0,0
Lapras,1107,0,0,0,0,0,0
Lapras,1094,0,0,0,0,0,0
Ditto,258,0,0,0,0,0,0
Vaporeon,1523,0,0,0,0,0,0
Jolteon,1205,0,0,0,0,0,0
Flareon,1532,0,0,0,0,1,1
Flareon,1309,0,0,0,0,0,0
Porygon,770,0,0,0,0,1,1
Omanyte,854,0,0,0,0,0,1
Kabuto,565,0,0,0,0,0,0
Snorlax,1534,0,0,0,0,0,0
Snorlax,843,0,0,0,0,0,0
Dragonair,1215,1,0,0,0,0,1
Chikorita,587,0,0,0,0,0,1
Cyndaquil,806,0,0,0,0,0,0
Spinarak,682,0,0,0,0,0,0
Chinchou,852,0,0,0,0,0,0
Lanturn,800,0,0,0,0,0,0
Igglybuff,297,0,0,0,0,0,0
Togepi,347,0,0,0,0,0,1
Togetic,955,0,0,0,0,0,1
Xatu,1927,0,0,0,0,0,0
Xatu,1843,0,0,0,0,1,1
Xatu,1372,0,0,0,0,1,1
Mareep,659,1,0,0,0,0,1
Flaaffy,1178,0,0,0,0,0,0
Bellossom,1573,1,0,0,0,1,1
Marill,225,0,0,0,0,0,0
Skiploom,700,0,0,0,0,0,0
Jumpluff,663,0,0,0,0,0,0
Sunkern,153,0,0,0,0,0,0
Yanma,1113,0,0,0,0,0,1
Wooper,518,0,0,0,0,0,0
Wooper,178,0,0,0,0,0,0
Murkrow,1048,1,0,0,0,0,1
Slowking,1535,0,0,0,0,1,1
Slowking,1122,0,0,0,0,0,0
Misdreavus,1315,1,0,0,0,0,1
Wobbuffet,416,0,0,0,0,0,0
Girafarig,1593,0,0,0,0,0,0
Dunsparce,1352,0,0,0,0,0,0
Gligar,1046,0,0,0,0,0,1
Gligar,371,0,0,1,0,0,0
Snubbull,747,1,0,0,0,0,1
Snubbull,179,0,0,0,0,0,0
Snubbull,73,0,0,0,0,0,0
Teddiursa,888,1,0,0,0,0,0
Teddiursa,843,1,0,0,0,0,0
Teddiursa,229,0,0,0,0,0,0
Slugma,747,0,0,0,0,0,1
Piloswine,1385,1,0,0,0,0,1
Mantine,876,0,0,0,0,0,0
Skarmory,1333,0,0,0,0,1,1
Houndour,816,1,0,0,0,0,1
Houndour,685,0,0,0,0,0,0
Houndour,630,0,0,0,0,0,0
Houndoom,1101,0,0,0,0,0,0
Phanpy,771,1,0,0,0,0,0
Donphan,1686,0,0,0,0,1,1
Smeargle,304,0,0,0,0,0,0
Magby,738,0,0,0,0,0,0
Miltank,979,0,0,0,0,0,0
Pupitar,970,0,0,0,0,0,1
Treecko,558,0,0,0,0,0,1
Combusken,717,0,0,0,0,0,0
Marshtomp,845,0,0,0,0,0,1
Poochyena,434,1,0,0,0,0,1
Zigzagoon,273,0,0,0,0,0,0
Wurmple,307,0,0,0,0,0,0
Lotad,315,0,0,0,0,0,1
Seedot,250,0,0,0,0,0,0
Nuzleaf,826,1,0,0,0,0,1
Taillow,235,0,0,0,0,0,0
Wingull,316,0,0,0,0,0,0
Kirlia,258,0,0,0,0,0,1
Shroomish,637,0,0,0,0,0,0
Vigoroth,1329,0,0,0,0,0,1
Nincada,430,0,0,0,0,0,0
Shedinja,154,0,0,0,0,0,0
Hariyama,1177,0,0,0,0,0,0
Nosepass,413,0,0,0,0,0,0
Skitty,506,0,0,0,0,0,0
Skitty,371,0,0,0,0,0,1
Sableye,626,0,0,0,0,0,0
Lairon,1379,1,0,0,0,0,0
Meditite,378,0,0,0,0,0,0
Roselia,1553,0,0,0,0,1,1
Swalot,968,0,0,0,0,1,1
Wailmer,833,0,0,0,0,0,0
Numel,751,1,0,0,0,0,0
Numel,445,0,0,0,0,0,1
Trapinch,815,0,0,0,0,0,1
Trapinch,531,0,0,0,0,0,0
Cacnea,331,0,0,0,0,0,0
Swablu,466,0,0,0,0,0,1
Seviper,1330,0,0,0,0,0,0
Solrock,1514,0,0,0,0,1,0
Barboach,449,0,0,0,0,0,0
Lileep,447,0,0,0,0,0,0
Feebas,20,0,0,0,0,0,1
Castform,1472,0,0,0,0,1,1
Shuppet,552,0,0,0,0,0,0
Banette,1194,0,0,0,0,1,1
Dusclops,770,0,0,0,0,0,1
Chimecho,963,0,0,0,0,0,0
Snorunt,579,0,0,0,0,0,0
Sealeo,1200,1,0,0,0,0,1
Clamperl,524,0,0,0,0,0,1
Bagon,477,0,0,0,0,0,1
Salamence,1024,0,0,0,0,0,0
Beldum,413,0,0,0,0,0,1
Regice,1839,0,0,0,0,0,1
Regice,1823,0,0,0,0,0,1
Turtwig,774,0,0,0,0,0,0
Grotle,1178,0,0,0,0,0,1
Chimchar,533,0,0,0,0,0,0
Chimchar,772,0,0,0,0,0,0
Monferno,650,0,0,0,0,0,1
Piplup,533,0,0,0,0,0,0
Piplup,611,0,0,0,0,0,0
Empoleon,2289,0,0,0,0,1,1
Staravia,883,1,0,0,0,0,1
Bidoof,165,0,0,0,0,0,0
Kricketot,250,0,0,0,0,0,0
Shinx,170,0,0,1,0,0,0
Shinx,168,0,0,1,0,0,0
Cranidos,807,0,0,0,0,0,1
Shieldon,561,0,0,0,0,0,1
Burmy,221,0,0,0,0,0,1
Buizel,587,0,0,0,0,0,1
Cherubi,374,0,0,0,0,0,0
Drifloon,671,0,0,0,0,0,1
Buneary,450,0,0,0,0,0,0
Mismagius,1884,0,0,0,0,1,1
Honchkrow,2163,0,0,0,0,0,0
Glameow,400,0,0,0,0,0,0
Purugly,1309,0,0,0,0,0,0
Chingling,567,0,0,0,0,0,0
Stunky,473,0,0,0,0,0,0
Bronzor,326,0,0,0,0,0,1
Bonsly,698,0,0,0,0,0,0
Gible,471,0,0,0,0,0,0
Hippowdon,2679,0,0,0,0,1,1
Skorupi,676,1,0,0,0,0,0
Skorupi,655,1,0,0,0,0,1
Snover,782,1,0,0,0,0,1
Rhyperior,1734,0,0,0,0,1,1
Gallade,2448,0,0,0,0,1,1
Shaymin,1384,0,0,0,0,0,0
Servine,561,0,0,0,0,0,0
Pignite,864,0,0,0,0,0,0
Dewott,1123,0,0,0,0,0,1
Patrat,621,0,0,0,0,0,0
Lillipup,366,0,0,0,0,0,0
Herdier,578,0,0,0,0,0,0
Liepard,1159,0,0,0,0,1,1
Panpour,514,0,0,0,0,0,1
Munna,732,0,0,0,0,0,0
Musharna,1146,0,0,0,0,0,0
Tranquill,797,0,0,0,0,0,0
Blitzle,372,0,0,0,0,0,1
Blitzle,172,0,0,1,0,0,0
Roggenrola,510,0,0,0,0,0,0
Woobat,660,0,0,0,0,0,0
Drilbur,769,0,0,0,0,0,0
Excadrill,1469,0,0,0,0,1,0
Audino,936,0,0,0,0,0,0
Timburr,722,0,0,0,0,0,1
Tympole,467,0,0,0,0,0,0
Venipede,317,0,0,0,0,0,1
Whimsicott,1484,0,0,0,0,0,0
Petilil,191,0,0,0,0,0,0
Lilligant,2033,0,0,0,0,0,0
Darumaka,801,0,0,0,0,0,0
Dwebble,521,0,0,0,0,0,0
Cofagrigus,1532,0,0,0,0,1,1
Trubbish,418,0,0,0,0,0,0
Zorua,164,0,0,0,0,0,0
Minccino,405,0,0,0,0,0,0
Gothorita,663,0,0,0,0,0,1
Solosis,447,0,0,0,0,0,0
Ducklett,590,0,0,0,0,0,1
Deerling,787,0,0,0,0,0,0
Emolga,896,0,0,0,0,0,0
Foongus,414,0,0,0,0,0,0
Frillish,766,0,0,0,0,0,0
Frillish,516,0,0,0,0,0,1
Alomomola,1016,0,0,0,0,1,1
Ferroseed,749,0,0,0,0,0,0
Ferroseed,388,0,0,0,0,0,0
Klink,408,0,0,0,0,0,0
Tynamo,422,0,0,0,0,0,1
Elgyem,433,0,0,0,0,0,1
Shelmet,359,0,0,0,0,0,0
Stunfisk,1212,0,0,0,0,0,0
Mienfoo,775,0,0,0,0,0,1
Pawniard,789,0,0,0,0,0,0
Pawniard,784,0,0,0,0,0,0
Bouffalant,1074,0,0,0,0,1,1
Rufflet,830,0,0,0,0,0,0
Vullaby,696,0,0,0,0,1,1
Durant,426,0,0,0,0,0,0
Deino,586,0,0,0,0,0,1
Meloetta,2650,0,0,0,0,1,1
Quilladin,612,0,0,0,0,0,1
Fennekin,693,0,0,0,0,0,0
Frogadier,907,0,0,0,0,0,1
Fletchinder,828,0,0,0,0,0,1
Scatterbug,198,0,0,0,0,0,0
Pyroar,2117,0,0,0,0,1,1
Pancham,823,0,0,0,0,0,1
Furfrou,877,0,0,0,0,0,0
Espurr,524,0,0,0,0,0,0
Meowstic,1449,0,0,0,0,1,1
Inkay,520,0,0,0,0,0,0
Binacle,225,0,0,0,0,0,0
Skrelp,722,0,0,0,0,0,0
Clauncher,612,0,0,0,0,0,1
Helioptile,705,0,0,0,0,0,0
Tyrunt,913,0,0,0,0,0,0
Tyrunt,889,0,0,0,0,0,0
Dedenne,1040,0,0,0,0,0,0
Goomy,406,0,0,0,0,0,0
Phantump,698,0,0,0,0,0,1
Pumpkaboo,842,0,0,0,0,0,1
Bergmite,684,0,0,0,0,0,0
Hoopa,1553,0,0,0,0,1,1
Dartrix,936,0,0,0,0,0,1
Torracat,953,0,0,0,0,0,1
Popplio,862,0,0,0,0,0,0
Trumbeak,621,0,0,0,0,0,0
Yungoos,481,0,0,0,0,0,0
Yungoos,478,0,0,0,0,0,0
Grubbin,342,0,0,0,0,0,0
Crabrawler,1093,0,0,0,0,0,0
Oricorio,1094,0,0,0,0,0,0
Lycanroc,1653,0,0,0,0,0,1
Mareanie,550,0,0,0,0,0,0
Mareanie,536,0,0,0,0,0,0
Fomantis,305,0,0,0,0,0,1
Stufful,558,0,0,0,0,0,1
Bounsweet,186,0,0,0,0,0,0
Wimpod,260,0,0,0,0,0,0
Cosmog,177,0,0,0,0,0,0
Nihilego,2293,0,0,0,0,0,0
Nihilego,1725,0,0,0,0,0,0
Buzzwole,2036,0,0,0,0,0,0
Buzzwole,1994,0,0,0,0,0,0
Pheromosa,1182,0,0,0,0,0,0
Xurkitree,1650,0,0,0,0,0,0
Scorbunny,462,0,0,0,0,0,0
Sobble,772,0,0,0,0,0,0
Falinks,1640,0,0,0,0,0,0
Quaxly,588,0,0,0,0,0,0
